spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sv_prn_1,sv_prn_2,sv_prn_3,sv_prn_4,sv_prn_5,sv_prn_6,sv_prn_7,sv_prn_8,sv_prn_9,sv_prn_10,sv_prn_11,sv_prn_12,sv_prn_13,sv_prn_14,sv_prn_15,sv_prn_16,sv_prn_17,sv_prn_18,sv_prn_19,sv_prn_20,sv_prn_21,sv_prn_22,sv_prn_23,sv_prn_24,sv_prn_25,sv_prn_26,sv_prn_27,sv_prn_28,sv_prn_29,sv_prn_30,sv_prn_31,sv_prn_32
1,0.1404692392259922,0.9900850432317776,-0.9942778199021404,-0.10682516955590048,-0.21831450502429858,-0.9758784642034045,8,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
1,0.14054123987065625,0.990074825402413,-0.9942777658950847,-0.1068256722266667,-0.21831453823726815,-0.9758784567733055,13,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1406132397720684,0.9900646023370409,-0.9942777612339343,-0.10682571561022006,-0.2183141476300175,-0.9758785441562792,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1406852389298479,0.9900543740357151,-0.9942776936781181,-0.10682634438247109,-0.2183139066230546,-0.9758785980720042,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14075723734361398,0.9900441404984899,-0.9942776008270648,-0.1068272085827194,-0.21831348649310037,-0.9758786920592266,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1408292350129858,0.9900339017254193,-0.9942775458245808,-0.10682772050853032,-0.21831285800132214,-0.9758788326586936,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14090123193758267,0.9900236577165575,-0.9942774875278748,-0.10682826309201451,-0.21831275126558225,-0.9758788565364309,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14097322811702379,0.9900134084719588,-0.9942774374347333,-0.10682872932044125,-0.21831269420737964,-0.975878869300855,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14104522355092847,0.9900031539916773,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14111721823891593,0.9899928942757671,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14118921218060537,0.9899826293242826,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14126120537561615,0.9899723591372781,-0.9942772608018368,-0.10683037326713925,-0.21831269505899462,-0.9758788691103412,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14133319782356749,0.9899620837148079,-0.9942771910056115,-0.10683102286316794,-0.21831270300740124,-0.9758788673322126,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14140518952407863,0.9899518030569263,-0.9942771373063569,-0.10683152264138132,-0.2183126462330701,-0.9758788800331291,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1414771804767689,0.9899415171636877,-0.9942771235707433,-0.1068316504781653,-0.21831270187191462,-0.975878867586231,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14154917068125755,0.9899312260351465,-0.9942770619778124,-0.10683222371910753,-0.21831267149764672,-0.9758788743812219,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1416211601371638,0.989920929671357,-0.9942770279803619,-0.10683254012958149,-0.2183127251493907,-0.9758788623788541,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14169314884410703,0.9899106280723738,-0.9942769742181915,-0.10683304048616069,-0.21831292925310478,-0.9758788167190273,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14176513680170644,0.9899003212382514,-0.9942769036122305,-0.1068336976018111,-0.2183130376920705,-0.9758787924602422,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14183712400958143,0.9898900091690443,-0.9942768441313437,-0.10683425117543419,-0.21831311178256602,-0.9758787758855159,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14190911046735122,0.989879691864807,-0.9942767908033897,-0.10683474748279433,-0.21831320659568876,-0.9758787546749381,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14198109617463509,0.9898693693255939,-0.9942767443121511,-0.10683518016098117,-0.21831333802824837,-0.9758787252722357,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1420530811310524,0.9898590415514598,-0.9942767004933647,-0.10683558796593956,-0.21831343624782584,-0.9758787032995784,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14212506533622243,0.9898487085424593,-0.9942767118054645,-0.1068354826886334,-0.218313469460804,-0.9758786958695156,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1421970487897645,0.989838370298647,-0.9942766911080426,-0.10683567531139539,-0.21831353106094242,-0.975878682088969,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14226903149129794,0.9898280268200775,-0.9942766558664002,-0.10683600329068794,-0.21831358357718816,-0.9758786703405737,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14234101344044203,0.9898176781068057,-0.9942766059560941,-0.10683646778338382,-0.21831364915152632,-0.9758786556709519,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1424129946368161,0.9898073241588861,-0.9942765513839292,-0.10683697565955694,-0.2183137215387828,-0.9758786394772081,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
