spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sv_prn_1,sv_prn_2,sv_prn_3,sv_prn_4,sv_prn_5,sv_prn_6,sv_prn_7,sv_prn_8,sv_prn_9,sv_prn_10,sv_prn_11,sv_prn_12,sv_prn_13,sv_prn_14,sv_prn_15,sv_prn_16,sv_prn_17,sv_prn_18,sv_prn_19,sv_prn_20,sv_prn_21,sv_prn_22,sv_prn_23,sv_prn_24,sv_prn_25,sv_prn_26,sv_prn_27,sv_prn_28,sv_prn_29,sv_prn_30,sv_prn_31,sv_prn_32
1,0.06823294998939092,0.9976694164580496,-0.9942634786083157,-0.1069585672384009,-0.21833610560778235,-0.9758736316696067,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06576595664194738,0.9978350760255772,-0.994263120927869,-0.10696189210543053,-0.21833569342833098,-0.9758737238880704,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05843522251824643,0.9982912023899855,-0.9942635540881721,-0.10695786559181339,-0.21833572408630786,-0.9758737170288518,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.052190710911656106,0.9986371361483288,-0.9942648277749592,-0.10694602493609008,-0.21833819687854802,-0.9758731637788921,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05487756759097541,0.9984930909001313,-0.9942617016707213,-0.10697508397211779,-0.2183384943742943,-0.9758730972182634,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06380658653648115,0.9979622836132448,-0.9942633881313965,-0.10695940828873375,-0.21833472145679647,-0.9758739413502049,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06750740633736844,0.9977187730465943,-0.9942634750614348,-0.10695860020942566,-0.21833611355614635,-0.9758736298912875,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.0630082536887073,0.9980130059107944,-0.9942636706360629,-0.10695678217533768,-0.21833499595929245,-0.9758738799350333,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.058362624578895676,0.9982954492795522,-0.9942635504168632,-0.1069578997197197,-0.21833572720887953,-0.9758737163302277,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.0560393296469963,0.9984285620577544,-0.9942614104667534,-0.10697779048317445,-0.21833770038989617,-0.975873274861266,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.0663464623951204,0.9977966460795771,-0.9942634682787996,-0.10695866325928148,-0.21833587709232022,-0.9758736827962557,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06772507319906733,0.9977040214713886,-0.9942634756836947,-0.10695859442503536,-0.21833611355614635,-0.9758736298912875,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.055966721724903974,0.9984326347127117,-0.9942614106534651,-0.10697778874786008,-0.21833770067376576,-0.9758732747977542,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.055603677682424614,0.99845291878395,-0.9942614130184767,-0.10697776676722168,-0.21833770237698588,-0.975873274416683,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05647497094247064,0.9984040152448542,-0.9942614771847911,-0.10697717039778701,-0.2183377344542992,-0.9758732672398419,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06329856123437604,0.9979946353290973,-0.9942636655958423,-0.1069568290289082,-0.2183349917012399,-0.9758738808876993,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.056257151633554436,0.9984163124118512,-0.9942614100933307,-0.10697779395380054,-0.21833770152537582,-0.9758732746072186,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05248120046711738,0.9986219122358222,-0.9942644724386169,-0.10694932840536592,-0.218338272387967,-0.9758731468846952,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06620133805439057,0.9978062852276529,-0.9942634685277038,-0.10695866094552538,-0.2183358745374885,-0.9758736833678578,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06816039724168148,0.9976743758601081,-0.9942634779860559,-0.10695857302279121,-0.2183361058916525,-0.9758736316060953,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.061121125784245355,0.9981303562074778,-0.9942636733739597,-0.10695675672401443,-0.21833646072930352,-0.9758735522167825,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06010488905273248,0.9981920668448326,-0.9942637922851649,-0.10695565132671774,-0.2183361992849253,-0.9758736107108407,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
