spoofed,GGA_gps_qi,GGA_sat_num,GGA_hdop,GGA_antenna_alt,GGA_geoidal_sep,GGA_age_of_diff_gps_data,GGA_diff_ref_station_id,GPGSV_sat_in_view,GPGSV_prn_0,GPGSV_elevation_0,GPGSV_azimuth_0,GPGSV_snr_0,GPGSV_prn_1,GPGSV_elevation_1,GPGSV_azimuth_1,GPGSV_snr_1,GPGSV_prn_2,GPGSV_elevation_2,GPGSV_azimuth_2,GPGSV_snr_2,GPGSV_prn_3,GPGSV_elevation_3,GPGSV_azimuth_3,GPGSV_snr_3,GPGSV_prn_4,GPGSV_elevation_4,GPGSV_azimuth_4,GPGSV_snr_4,GPGSV_prn_5,GPGSV_elevation_5,GPGSV_azimuth_5,GPGSV_snr_5,GPGSV_prn_6,GPGSV_elevation_6,GPGSV_azimuth_6,GPGSV_snr_6,GPGSV_prn_7,GPGSV_elevation_7,GPGSV_azimuth_7,GPGSV_snr_7,GPGSV_prn_8,GPGSV_elevation_8,GPGSV_azimuth_8,GPGSV_snr_8,GPGSV_prn_9,GPGSV_elevation_9,GPGSV_azimuth_9,GPGSV_snr_9,GPGSV_prn_10,GPGSV_elevation_10,GPGSV_azimuth_10,GPGSV_snr_10,GPGSV_prn_11,GPGSV_elevation_11,GPGSV_azimuth_11,GPGSV_snr_11,GPGSV_prn_12,GPGSV_elevation_12,GPGSV_azimuth_12,GPGSV_snr_12,GPGSV_prn_13,GPGSV_elevation_13,GPGSV_azimuth_13,GPGSV_snr_13,GPGSV_prn_14,GPGSV_elevation_14,GPGSV_azimuth_14,GPGSV_snr_14,GPGSV_prn_15,GPGSV_elevation_15,GPGSV_azimuth_15,GPGSV_snr_15,GLGSV_sat_in_view,GLGSV_prn_0,GLGSV_elevation_0,GLGSV_azimuth_0,GLGSV_snr_0,GLGSV_prn_1,GLGSV_elevation_1,GLGSV_azimuth_1,GLGSV_snr_1,GLGSV_prn_2,GLGSV_elevation_2,GLGSV_azimuth_2,GLGSV_snr_2,GLGSV_prn_3,GLGSV_elevation_3,GLGSV_azimuth_3,GLGSV_snr_3,GLGSV_prn_4,GLGSV_elevation_4,GLGSV_azimuth_4,GLGSV_snr_4,GLGSV_prn_5,GLGSV_elevation_5,GLGSV_azimuth_5,GLGSV_snr_5,GLGSV_prn_6,GLGSV_elevation_6,GLGSV_azimuth_6,GLGSV_snr_6,GLGSV_prn_7,GLGSV_elevation_7,GLGSV_azimuth_7,GLGSV_snr_7,GLGSV_prn_8,GLGSV_elevation_8,GLGSV_azimuth_8,GLGSV_snr_8,GLGSV_prn_9,GLGSV_elevation_9,GLGSV_azimuth_9,GLGSV_snr_9,GLGSV_prn_10,GLGSV_elevation_10,GLGSV_azimuth_10,GLGSV_snr_10,GLGSV_prn_11,GLGSV_elevation_11,GLGSV_azimuth_11,GLGSV_snr_11,GPGSA_mode1,GPGSA_mode2,GPGSA_sat_used_0,GPGSA_sat_used_1,GPGSA_sat_used_2,GPGSA_sat_used_3,GPGSA_sat_used_4,GPGSA_sat_used_5,GPGSA_sat_used_6,GPGSA_sat_used_7,GPGSA_sat_used_8,GPGSA_sat_used_9,GPGSA_sat_used_10,GPGSA_sat_used_11,GPGSA_pdop,GPGSA_hdop,GPGSA_vdop,GNGSA0_mode1,GNGSA0_mode2,GNGSA0_sat_used_0,GNGSA0_sat_used_1,GNGSA0_sat_used_2,GNGSA0_sat_used_3,GNGSA0_sat_used_4,GNGSA0_sat_used_5,GNGSA0_sat_used_6,GNGSA0_sat_used_7,GNGSA0_sat_used_8,GNGSA0_sat_used_9,GNGSA0_sat_used_10,GNGSA0_sat_used_11,GNGSA0_pdop,GNGSA0_hdop,GNGSA0_vdop,GNGSA1_mode1,GNGSA1_mode2,GNGSA1_sat_used_0,GNGSA1_sat_used_1,GNGSA1_sat_used_2,GNGSA1_sat_used_3,GNGSA1_sat_used_4,GNGSA1_sat_used_5,GNGSA1_sat_used_6,GNGSA1_sat_used_7,GNGSA1_sat_used_8,GNGSA1_sat_used_9,GNGSA1_sat_used_10,GNGSA1_sat_used_11,GNGSA1_pdop,GNGSA1_hdop,GNGSA1_vdop,RMC_status,RMC_speed,RMC_course,RMC_mode
0,1,15,0.6,49.7,45.0,-1,-1,12,09,78,328,35,23,56,051,32,06,54,276,32,07,45,176,39,03,29,111,39,30,15,196,37,22,10,117,33,26,09,050,25,19,08,241,34,16,10,076,30,04,-1,-1,29,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,30,79,46,096,40,70,38,305,21,85,36,281,33,78,24,036,31,80,23,157,33,84,21,220,-1,68,16,082,36,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,68,69,70,79,80,85,-1,-1,-1,-1,-1,-1,1.9,1.0,1.6,A,000.0,-1,A
0,1,15,0.6,49.2,45.0,-1,-1,12,09,78,328,35,23,56,051,32,06,54,276,32,07,45,176,39,03,29,111,39,30,15,196,37,22,10,117,33,26,09,050,25,19,08,241,33,02,26,312,16,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,30,79,46,096,40,70,38,305,-1,85,36,281,33,78,24,036,30,80,23,157,33,84,21,220,26,68,16,082,37,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.9,1.0,1.6,A,001.6,-1,A
1,1,15,0.6,48.9,45.0,-1,-1,12,09,78,328,34,23,56,051,32,06,54,276,31,07,45,176,39,03,29,111,38,30,15,196,37,22,10,117,33,26,09,050,26,19,08,241,32,02,26,312,17,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,39,70,38,305,-1,85,36,281,33,78,24,035,30,80,23,157,33,84,21,220,26,68,16,082,37,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.9,1.0,1.6,A,002.6,181.3,A
0,1,15,0.6,49.2,45.0,-1,-1,12,09,78,328,34,23,56,051,32,06,54,276,31,07,45,176,38,03,29,111,38,30,15,196,37,22,10,117,34,26,09,050,31,19,08,241,31,02,26,312,22,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,39,70,38,305,-1,85,36,281,32,78,24,035,29,80,23,157,33,84,21,220,29,68,16,082,37,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.0,1.6,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.9,1.0,1.6,A,002.6,191.3,A
1,1,14,0.6,48.3,45.0,-1,-1,12,09,78,328,34,23,56,051,32,06,54,276,31,07,45,176,39,03,29,111,38,30,15,196,38,22,10,117,34,26,09,050,31,19,08,241,31,02,26,312,-1,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,39,85,36,281,32,78,24,035,-1,80,23,157,33,84,21,220,-1,68,16,082,37,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,68,69,79,80,85,-1,-1,-1,-1,-1,-1,-1,1.9,1.1,1.5,A,002.8,190.4,A
0,1,15,0.6,48.7,45.0,-1,-1,12,09,78,328,34,23,56,051,33,06,54,276,31,07,45,176,39,03,29,111,38,30,15,196,40,22,10,117,35,26,09,050,30,19,08,241,31,02,26,312,-1,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,39,85,36,281,32,78,24,035,30,80,23,157,33,84,21,220,32,68,16,082,37,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.9,1.1,1.5,A,002.5,173.2,A
1,1,15,0.6,48.3,45.0,-1,-1,12,09,78,328,34,23,56,051,33,06,54,276,31,07,45,176,39,03,29,111,38,30,15,196,39,22,10,117,35,26,09,050,31,19,08,241,30,02,26,312,-1,16,10,076,33,04,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,38,85,36,281,34,80,23,157,33,78,23,035,30,84,21,220,31,68,16,082,36,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,002.8,130.6,A
1,1,15,0.6,47.9,45.0,-1,-1,12,09,78,328,34,23,56,051,33,06,54,276,31,07,45,176,39,03,29,111,38,30,15,196,39,22,10,117,36,26,09,050,30,19,08,241,30,16,10,076,33,04,-1,-1,28,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,38,85,36,281,34,78,23,035,30,80,23,157,33,84,21,220,31,68,16,082,36,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.9,1.1,1.5,A,3,68,69,79,80,84,85,-1,-1,-1,-1,-1,-1,1.9,1.1,1.5,A,003.1,170.0,A
0,1,14,0.6,48.2,45.0,-1,-1,12,09,78,328,33,23,56,051,34,06,54,276,31,07,45,176,39,03,28,111,37,30,15,196,38,22,10,117,36,26,09,050,30,19,08,241,30,16,10,076,33,04,-1,-1,28,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,38,85,36,281,34,78,23,035,-1,80,23,157,33,84,21,220,-1,68,16,082,36,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.4,0.9,1.2,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.4,0.9,1.2,A,3,68,69,79,80,85,-1,-1,-1,-1,-1,-1,-1,1.4,0.9,1.2,A,003.4,168.6,A
0,1,14,0.6,48.4,45.0,-1,-1,12,09,78,328,33,23,56,051,34,06,54,276,30,07,45,176,38,03,28,111,37,30,15,196,37,22,10,117,35,26,09,050,30,19,08,241,30,16,10,076,32,04,-1,-1,27,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,31,79,46,096,38,85,36,281,34,78,23,035,-1,80,23,157,32,84,21,220,-1,68,16,082,36,70,38,305,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.4,0.8,1.1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.4,0.8,1.1,A,3,68,69,79,80,85,-1,-1,-1,-1,-1,-1,-1,1.4,0.8,1.1,A,003.5,172.0,A
