spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sat_prn_0,sat_prn_1,sat_prn_2,sat_prn_3,sat_prn_4,sat_prn_5,sat_prn_6,sat_prn_7,sat_prn_8,sat_prn_9,sat_prn_10,sat_prn_11,sat_prn_12,sat_prn_13,sat_prn_14,sat_prn_15
0,0.1404692392259922,0.9900850432317776,-0.9942778199021404,-0.10682516955590048,-0.21831450502429858,-0.9758784642034045,8,04,03,07,06,22,09,30,26,,,,,,,,
1,0.14054123987065625,0.990074825402413,-0.9942777658950847,-0.1068256722266667,-0.21831453823726815,-0.9758784567733055,13,09,06,07,03,30,22,26,04,23,19,17,02,16,,,
1,0.1406132397720684,0.9900646023370409,-0.9942777612339343,-0.10682571561022006,-0.2183141476300175,-0.9758785441562792,12,09,23,06,07,03,30,22,26,19,16,04,02,,,,
0,0.1406852389298479,0.9900543740357151,-0.9942776936781181,-0.10682634438247109,-0.21831390662305458,-0.9758785980720042,12,09,23,06,07,03,30,22,26,19,16,04,02,,,,
