spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sat_prn_0,sat_prn_1,sat_prn_2,sat_prn_3,sat_prn_4,sat_prn_5,sat_prn_6,sat_prn_7,sat_prn_8,sat_prn_9,sat_prn_10,sat_prn_11,sat_prn_12,sat_prn_13,sat_prn_14,sat_prn_15
0,0.1448599046976178,0.9894521757068389,-0.9942749443722289,-0.10685193022871102,-0.21831553888431895,-0.975878232917227,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14493185930724672,0.9894416385809445,-0.9942748976870199,-0.10685236464143404,-0.2183156774135947,-0.975878201926574,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14500381315040398,0.9894310962223912,-0.9942748534260344,-0.10685277649475369,-0.21831578556862066,-0.9758781777309892,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.14507576622670904,0.9894205486312346,-0.9942747832421837,-0.10685342955988233,-0.21831567911682342,-0.9758782015455413,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.14514771853578132,0.9894099958075305,-0.9942747403483876,-0.1068538286873544,-0.21831569728459657,-0.975878197481192,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.1452196700772404,0.9893994377513348,-0.9942746930406966,-0.10685426888444206,-0.21831577364601892,-0.9758781803982197,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.1452916208507057,0.9893888744627033,-0.9942746273317932,-0.10685488030138726,-0.21831576484600398,-0.9758781823668896,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14536357085579668,0.9893783059416917,-0.9942745656011374,-0.10685545469778127,-0.2183157952202499,-0.9758781755718026,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.1454355200921329,0.9893677321883562,-0.9942745239498527,-0.10685584225625505,-0.2183159354527457,-0.9758781442000802,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.14550746855933383,0.9893571532027524,-0.9942744861527354,-0.10685619395109475,-0.2183160109625496,-0.9758781273076059,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.14557941625701895,0.9893465689849364,-0.9942744327516619,-0.10685669083572062,-0.21831611996918157,-0.9758781029214673,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.1456513631848078,0.9893359795349642,-0.994274393151404,-0.10685705930544503,-0.21831623493711022,-0.9758780772016986,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
0,0.14572330934231986,0.9893253848528918,-0.9942743441016016,-0.10685751569884978,-0.2183163107307799,-0.9758780602456957,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14579525472917465,0.9893147849387752,-0.9942742955489293,-0.10685796746466941,-0.21831637545346372,-0.9758780457664074,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.1458671993449917,0.9893041797926705,-0.9942742502287721,-0.10685838915131061,-0.2183164163309475,-0.9758780366215916,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14593914318939055,0.9892935694146336,-0.9942742011783594,-0.10685884554464975,-0.21831645380197404,-0.9758780282388422,12,09,23,06,07,03,30,22,26,19,16,04,02,-1,-1,-1,-1
1,0.14601108626199066,0.9892829538047209,-0.9942741370208492,-0.10685944250016256,-0.21831649638268552,-0.975878018712989,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
1,0.14608302856241162,0.9892723329629883,-0.994274078769001,-0.10685998450334135,-0.21831655855052357,-0.9758780048052399,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.1461549700902729,0.9892617068894921,-0.9942740379863146,-0.10686036396339202,-0.21831660964737631,-0.9758779933742102,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14622691084519412,0.9892510755842885,-0.9942739886241498,-0.10686082324885947,-0.21831662554417483,-0.9758779898178893,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
1,0.14629885082679478,0.9892404390474336,-0.9942739544310901,-0.10686114139369166,-0.21831662497643162,-0.9758779899449009,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14637079003469441,0.9892297972789839,-0.9942739198027423,-0.10686146358762863,-0.21831666812488462,-0.9758779802920287,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14644272846851258,0.9892191502789953,-0.9942738739215748,-0.1068618904801162,-0.21831664598291517,-0.9758779852454765,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
1,0.14651466612786881,0.9892084980475244,-0.9942738285997539,-0.10686231216657859,-0.21831661929900373,-0.9758779912150155,12,09,23,06,07,03,30,26,22,19,16,04,02,-1,-1,-1,-1
0,0.14658660301238274,0.9891978405846275,-0.9942737695381275,-0.10686286168937537,-0.21831658296346462,-0.9758779993437482,12,09,23,06,07,03,30,26,22,19,16,04,02,-1,-1,-1,-1
0,0.14665853912167384,0.9891871778903609,-0.9942737299977532,-0.10686322958040813,-0.21831663718290198,-0.9758779872141543,12,09,23,06,07,03,30,26,22,19,16,04,02,-1,-1,-1,-1
0,0.14673047445536175,0.989176509964781,-0.9942736912032913,-0.10686359053008657,-0.21831668175071184,-0.9758779772437527,12,09,23,06,07,03,30,26,22,19,16,04,02,-1,-1,-1,-1
1,0.146802409013066,0.9891658368079442,-0.9942736490514682,-0.10686398271577734,-0.21831675129920283,-0.9758779616848421,12,09,23,06,07,03,30,26,22,19,16,04,02,-1,-1,-1,-1
0,0.14687434279440614,0.989155158419907,-0.9942736136139747,-0.10686431242940032,-0.21831674902823217,-0.975877962192888,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14694627579900177,0.9891444748007258,-0.9942735672963844,-0.10686474337087161,-0.21831676435728659,-0.9758779587635766,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.1470182080264725,0.9891337859504572,-0.9942735211029505,-0.1068651731554322,-0.21831678252505607,-0.9758779546992069,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14709013947643793,0.9891230918691576,-0.9942734856028906,-0.10686550344745673,-0.21831679132506981,-0.9758779527305276,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14716207014851757,0.9891123925568837,-0.9942734473671517,-0.10686585919104297,-0.21831682567350708,-0.9758779450463277,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.1472340000423311,0.989101688013692,-0.9942734128616196,-0.10686618022792513,-0.21831686257678734,-0.9758779367905743,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14730592915749804,0.9890909782396391,-0.9942733769881905,-0.10686651399058332,-0.2183169091316941,-0.9758779263756219,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
